11266,"TEST,ANOTHER","","","","","","","MEDICAL ADMINISTRATION","","","",
11267,"WARDCLERK,SIXTYONE","MALE","","ADPAC","","","","LABORATORY","STUDENT","PART TIME","",
11268,"WARDCLERK,SIXTYTWO","MALE","","","","","","INFORMATION SYSTEMS CENTER","","","",
11269,"DUZ,BIG","","","","","","","INFORMATION RESOURCE MGMT","","","",
11270,"DUZ,NEW","","","","","","","INFORMATION RESOURCE MGMT","","","",
11271,"CLONE,KERNEL","MALE","","","","","","","","","",
11272,"ACCESS,NEW","","","","","","","INFORMATION RESOURCE MGMT","","","",
11273,"WARDCLERK,SIXTYTHREE","FEMALE","","","","","","INFORMATION SYSTEMS CENTER","DENTIST","FULL TIME","",
11274,"WARDCLERK,SIXTYFOUR","","","","","","","","","","",
11275,"WARDCLERK,SIXTYFIVE","","","","","","","","","","",
11276,"WARDCLERK,SIXTYSIX","","","","","","","INFORMATION RESOURCE MGMT","","","",
11277,"WARDCLERK,SIXTYSEVEN","FEMALE","","PROGRAM ANALYST","","","","FISCAL","NURSE PRACTITIONER","FULL TIME","",
11278,"WARDCLERK,SIXTYEIGHT","FEMALE","","COMPUTER SPECIALIST","","","","FISCAL","DO","FULL TIME","",
11279,"WARDCLERK,SIXTYNINE","FEMALE","","COMPUTER ASSISTANT","","","","INFORMATION RESOURCE MGMT","","","",
11280,"WARDCLERK,SEVENTY","MALE","","","","","","","PHYSICIAN","FULL TIME","",
11281,"WARDCLERK,SEVENTYONE","","","","","","","INFORMATION SYSTEMS CENTER","NON-PROVIDER","FULL TIME","",
11282,"TESTPATIENT,TWO","","","","","","","","","","",
11283,"TESTPATIENT,THREE","","DEC  7,1941","","","","","","","","",
11284,"WARDCLERK,SEVENTYTWO","FEMALE","","","","","","INFORMATION SYSTEMS CENTER","","","",
11285,"WARDCLERK,SEVENTYTHREE","MALE","","","","","","1029","","","",
11286,"WARDCLERK,SEVENTYFOUR","FEMALE","","","","","","","","","",
11287,"WARDCLERK,SEVENTYFIVE","","","","","","","","","","",
11288,"WARDCLERK,SEVENTYSIX","FEMALE","","HELPER","","","","INFORMATION SYSTEMS CENTER","","","",
11289,"WARDCLERK,SEVENTYSEVEN","FEMALE","","COMPUTER SPECIALIST","","","","INFORMATION SYSTEMS CENTER","","","",
11290,"PHARMACY,TECH","MALE","","PHARMACIST","666549251","","","1029","","","",
11291,"WARDCLERK,SEVENTYEIGHT","","","","","","","","","","",
11292,"WARDCLERK,SEVENTYNINE","","","","","","","","","","",
11293,"NURSE,STUDENT","MALE","DEC  7,1941","","666549843","","","MEDICAL ADMINISTRATION","","","",
11294,"WARDCLERK,EIGHTY","","DEC  7,1941","","","","","","","","",
11295,"WARDCLERK,EIGHTYONE","FEMALE","","","666549987","","","MEDICAL ADMINISTRATION","","","",
11296,"WARDCLERK,EIGHTYTWO","","","HELPER","","","","INFORMATION SYSTEMS CENTER","","","",
11297,"WARDCLERK,EIGHTYTHREE","","","HELPER","","","","INFORMATION SYSTEMS CENTER","","","",
11298,"ALBANY,VAMC","MALE","","FEE BASIS CLERK","666549900","","","MEDICAL ADMINISTRATION","","","",
11299,"BATAVIA,VAMC","MALE","","FEE BASIS CLERK","","","","MEDICAL ADMINISTRATION","","","",
11300,"BATH,VAMC","FEMALE","","FEE BASIS CLERK","","","","MEDICAL ADMINISTRATION","","","",
11301,"BEDFORD,VAMC","FEMALE","","FEE BASIS CLERK","","","","MEDICAL ADMINISTRATION","","","",
11302,"BOSTON,VAMC","MALE","","FEE BASIS CLERK","","","","MEDICAL ADMINISTRATION","","","",
11303,"BROCKTON,VAMC","FEMALE","","FEE BASIS CLERK","","","","MEDICAL ADMINISTRATION","","","",
11304,"BRONX,VAMC","MALE","","FEE BASIS CLERK","","","","MEDICAL ADMINISTRATION","","","",
11305,"BROOKLYN,VAMC","FEMALE","","FEE BASIS CLERK","","","","MEDICAL ADMINISTRATION","","","",
11306,"BUFFALO,VAMC","FEMALE","","FEE BASIS CLERK","","","","MEDICAL ADMINISTRATION","","","",
11307,"WARDCLERK,EIGHTYFOUR","MALE","","FEE BASIS CLERK","","","","MEDICAL ADMINISTRATION","","","",
11308,"CASTLE-POINT,VAMC","MALE","","FEE BASIS CLERK","","","","MEDICAL ADMINISTRATION","","","",
11309,"MANCHESTER,VAMC","FEMALE","","FEE BASIS CLERK","","","","MEDICAL ADMINISTRATION","","","",
11310,"MONTROSE,VAMC","MALE","","FEE BASIS CLERK","","","","MEDICAL ADMINISTRATION","","","",
11311,"NEWINGTON,VAMC","MALE","","FEE BASIS CLERK","","","","MEDICAL ADMINISTRATION","","","",
11312,"NEW-YORK,VAMC","MALE","","FEE BASIS CLERK","","","","MEDICAL ADMINISTRATION","","","",
11313,"NORTHAMPTON,VAMC","FEMALE","","FEE BASIS CLERK","","","","MEDICAL ADMINISTRATION","","","",
11314,"NORTHPORT,VAMC","FEMALE","","FEE BASIS CLERK","","","","MEDICAL ADMINISTRATION","","","",
11315,"NORTHPORT,RMEC","FEMALE","","FEE BASIS CLERK","","","","MEDICAL ADMINISTRATION","","","",
11316,"PROVIDENCE,VAMC","MALE","","FEE BASIS CLERK","666377334","","","MEDICAL ADMINISTRATION","","","",
11317,"SYRACUSE,VAMC","FEMALE","","FEE BASIS CLERK","","","","MEDICAL ADMINISTRATION","","","",
11318,"TOGUS,VAMC","FEMALE","","FEE BASIS CLERK","","","","MEDICAL ADMINISTRATION","","","",
11319,"WEST-HAVEN,VAMC","MALE","","FEE BASIS CLERK","","","","MEDICAL ADMINISTRATION","","","",
11320,"WHITE-RIVER-JUNCTION,VAMC","FEMALE","","FEE BASIS CLERK","","","","MEDICAL ADMINISTRATION","","","",
11321,"INSTRUCTOR,ISC","FEMALE","","COMPUTER SPECIALIST","","","","INFORMATION SYSTEMS CENTER","","","",
11322,"WARDCLERK,EIGHTYFIVE","FEMALE","","","","","","","","","",
11323,"WARDCLERK,EIGHTYSIX","MALE","","","","","","","","","",
11324,"WARDCLERK,EIGHTYSEVEN","FEMALE","","COMPUTER SPECIALIST","","","","ACCOUNTS RECEIVABLE","","","",
11325,"WARDCLERK,EIGHTYEIGHT","FEMALE","","","","","","","","","",
11326,"TRANSCRIPTION,USER","","","","","","","FISCAL","","","",
11327,"USER,DOCTOR","MALE","DEC  7,1941","DOC","","","","MEDICAL","","","",
11328,"WARDCLERK,EIGHTYNINE","","","","","","","","","","",
11329,"WARDCLERK,NINETY","","","","","","","","","","",
11330,"WARDCLERK,NINETYONE","","","","","","","","","","",
11331,"WARDCLERK,NINETYTWO","","","","","","","","","","",
11332,"WARDCLERK,NINETYTHREE","","","","","","","","","","",
11333,"WARDCLERK,NINETYFOUR","","","","","","","","","","",
11334,"WARDCLERK,NINETY FIVE","","","","","","","","","","",
11335,"WARDCLERK,NINETYSIX","","","","","","","","","","",
11336,"WARDCLERK,NINETYSEVEN","","","","","","","","","","",
11337,"WARDCLERK,NINETYEIGHT","","","","","","","","","","",
11338,"WARDCLERK,NINETYNINE","","","","","","","","","","",
11339,"WARDCLERK,ONEHUNDRED","","","","","","","","","","",
11340,"CLINICCLERK,ONE","","","","","","","","","","",
11341,"CLINICCLERK,TWO","","","","","","","","","","",
11342,"CLINICCLERK,THREE","","","","","","","","","","",
11343,"CLINICCLERK,FOUR","","","","","","","","","","",
11344,"CLINICCLERK,FIVE","","","","","","","","","","",
11345,"CLINICCLERK,SIX","","","","","","","","","","",
11346,"CLINICCLERK,SEVEN","","","","","","","","","","",
11347,"CLINICCLERK,EIGHT","","","","","","","","","","",
11348,"CLINICCLERK,NINE","","","","","","","","","","",
11349,"CLINICCLERK,TEN","","","","","","","","","","",
11350,"CLINICCLERK,ELEVEN","","","","","","","","","","",
11351,"CLINICCLERK,TWELVE","","","","","","","","","","",
11352,"CLINICCLERK,THIRTEEN","","","","","","","","","","",
11353,"CLINICCLERK,FOURTEEN","","","","","","","","","","",
11354,"CLINICCLERK,FIFTEEN","","","","","","","","","","",
11355,"CLINICCLERK,SIXTEEN","","","","","","","","","","",
11356,"CLINICCLERK,SEVENTEEN","","","","","","","","","","",
11357,"CLINICCLERK,EIGHTEEN","","","","666547772","","","","","","",
11358,"CLINICCLERK,NINETEEN","","","","","","","","","","",
11359,"CLINICCLERK,TWENTY","","","","","","","","","","",
11360,"CLINICCLERK,TWENTYONE","","","","","","","","","","",
11361,"CLINICCLERK,TWENTYTWO","","","","","","","","","","",
11362,"CLINICCLERK,TWENTYTHREE","","","","","","","","","","",
11363,"CLINICCLERK,TWENTYFOUR","","","","","","","","","","",
11364,"CLINICCLERK,TWENTYFIVE","","","","","","","","","","",
11365,"CLINICCLERK,TWENTYSIX","","","","","","","","","","",
11366,"CLINICCLERK,TWENTYSEVEN","","","","","","","","","","",
11367,"CLINICCLERK,TWENTYEIGHT","","","","","","","","","","",
11368,"CLINICCLERK,TWENTYNINE","","","","","","","","","","",
11369,"CLINICCLERK,THIRTY","","","","","","","","","","",
11370,"CLINICCLERK,THIRTYONE","","","","","","","","","","",
11371,"CLINICCLERK,THIRTYTWO","","","","","","","","","","",
11372,"CLINICCLERK,THIRTYTHREE","","","","","","","","","","",
11373,"CLINICCLERK,THIRTYFOUR","","","","","","","","","","",
11374,"CLINICCLERK,THIRTYFIVE","","","","","","","","","","",
11375,"CLINICCLERK,THIRTYSIX","","","","","","","","","","",
11376,"CLINICCLERK,THIRTYSEVEN","","","","","","","","","","",
11377,"CLINICCLERK,THIRTYEIGHT","","","","","","","","","","",
11378,"CLINICCLERK,THIRTYNINE","","","","","","","","","","",
11379,"CLINICCLERK,FORTY","","DEC  7,1941","","","","","","","","",
11380,"CLINICCLERK,FORTYONE","","","","","","","","","","",
11381,"CLINICCLERK,FORTYTWO","","","","","","","","","","",
11382,"CLINICCLERK,FORTYTHREE","","","","","","","","","","",
11383,"CLINICCLERK,FORTYFOUR","","","","","","","","","","",
11384,"CLINICCLERK,FORTYFIVE","","","","","","","","","","",
11385,"CLINICCLERK,FORTYSIX","","","","","","","","","","",
11386,"CLINICCLERK,FORTYSEVEN","","","","","","","","","","",
11387,"CLINICCLERK,FORTYEIGHT","","","","","","","","","","",
11388,"CLINICCLERK,FORTYNINE","","","","","","","","","","",
11389,"CLINICCLERK,FIFTY","","","","","","","","","","",
11390,"CLINICCLERK,FIFTYONE","","","","","","","","","","",
11391,"CLINICCLERK,FIFTYTWO","","","","","","","","","","",
11392,"CLINICCLERK,FIFTYTHREE","","","","","","","","","","",
11393,"CLINICCLERK,FIFTYFOUR","","","","","","","","","","",
11394,"CLINICCLERK,FIFTYFIVE","","","","","","","","","","",
11395,"CLINICCLERK,FIFTYSIX","","","","","","","","","","",
11396,"CLINICCLERK,FIFTYSEVEN","","","","","","","","","","",
11397,"CLINICCLERK,FIFTYEIGHT","","","","","","","","","","",
11398,"CLINICCLERK,FIFTYNINE","","","","","","","","","","",
11399,"CLINICCLERK,SIXTY","","","","","","","","","","",
11400,"CLINICCLERK,SIXTYONE","","","","","","","","","","",
11401,"CLINICCLERK,SIXTYTWO","","","","","","","","","","",
11402,"CLINICCLERK,SIXTYTHREE","","","","","","","","","","",
11403,"CLINICCLERK,SIXTYFOUR","","","","","","","","","","",
11404,"CLINICCLERK,SIXTYFIVE","","","","","","","","","","",
11405,"CLINICCLERK,SIXTYSIX","","","","666547774","","","","","","",
11406,"CLINICCLERK,SIXTYSEVEN","","","","","","","","","","",
11407,"CLINICCLERK,SIXTYEIGHT","","","","","","","","","","",
11408,"CLINICCLERK,SIXTYNINE","","","","","","","","","","",
11409,"CLINICCLERK,SEVENTY","","","","","","","","","","",
11410,"CLINICCLERK,SEVENTYONE","","","","","","","","","","",
11411,"CLINICCLERK,SEVENTYTWO","","","","","","","","","","",
11412,"CLINICCLERK,SEVENTYTHREE","","","","","","","","","","",
11413,"CLINICCLERK,SEVENTYFOUR","","","","","","","","","","",
11414,"CLINICCLERK,SEVENTYFIVE","","","","","","","","","","",
11415,"CLINICCLERK,SEVENTYSIX","","","","","","","","","","",
11416,"CLINICCLERK,SEVENTYSEVEN","","","","","","","","","","",
11417,"CLINICCLERK,SEVENTYEIGHT","","","","","","","INFORMATION SYSTEMS CENTER","","","",
11418,"CLINICCLERK,SEVENTYNINE","","","","","","","","","","",
11419,"CLINICCLERK,EIGHTY","","","","","","","","","","",
11420,"CLINICCLERK,EIGHTYONE","","","","","","","","","","",
11421,"CLINICCLERK,EIGHTYTWO","","","","","","","","","","",
11422,"CLINICCLERK,EIGHTYTHREE","","","","","","","","","","",
11423,"CLINICCLERK,EIGHTYFOUR","","","","","","","","","","",
11424,"CLINICCLERK,EIGHTYFIVE","","","","","","","","","","",
11425,"CLINICCLERK,EIGHTYSIX","","","","","","","","","","",
11426,"CLINICCLERK,EIGHTYSEVEN","","","","","","","","","","",
11427,"CLINICCLERK,EIGHTYEIGHT","","","","","","","","","","",
11428,"CLINICCLERK,EIGHTYNINE","","","","","","","","","","",
11429,"CLINICCLERK,NINETY","","","","","","","","","","",
11430,"CLINICCLERK,NINETYONE","","","","","","","","","","",
11431,"CLINICCLERK,NINETYTWO","","","","","","","","","","",
11432,"CLINICCLERK,NINETYTHREE","","","","","","","","","","",
11433,"CLINICCLERK,NINETYFOUR","","","","","","","","","","",
11434,"CLINICCLERK,NINETYFIVE","","","","","","","","","","",
11435,"CLINICCLERK,NINETYSIX","","","","","","","","","","",
11436,"CLINICCLERK,NINETYSEVEN","","","","","","","","","","",
11437,"CLINICCLERK,NINETYEIGHT","","","","","","","","","","",
11438,"CLINICCLERK,NINETYNINE","","","","","","","","","","",
11439,"CLINICCLERK,ONEHUNDRED","","","","","","","","","","",
11440,"PROVIDER,ONEHUNDREDONE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11441,"PROVIDER,ONEHUNDREDTWO","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11442,"PROVIDER,ONEHUNDREDTHREE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11443,"PROVIDER,ONEHUNDREDFOUR","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11444,"PROVIDER,ONEHUNDREDFIVE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11445,"LABTECH,SIXTYTHREE","","","","","","","","","","",
11446,"PROVIDER,ONEHUNDREDSEVEN","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11447,"PROVIDER,ONEHUNDREDEIGHT","","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","","","",
11448,"PROVIDER,ONEHUNDREDNINE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11449,"PROVIDER,ONEHUNDREDTEN","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11450,"PROVIDER,ONEHUNDREDELEVEN","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11451,"PROVIDER,ONEHUNDREDTWELVE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11452,"PROVIDER,ONEHUNDREDTHIRTEEN","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11453,"PROVIDER,ONEHUNDREDFOURTEEN","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11454,"PROVIDER,ONEHUNDREDFIFTEEN","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11455,"PROVIDER,ONEHUNDREDSIXTEEN","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11456,"PROVIDER,ONEHUNDREDSEVENTEEN","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11457,"PROVIDER,ONEHUNDREDEIGHTEEN","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11458,"PROVIDER,ONEHUNDREDNINETEEN","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11459,"PROVIDER,ONEHUNDREDTWENTY","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11460,"PROVIDER,ONEHUNDREDTWENTYONE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11461,"PROVIDER,ONEHUNDREDTWENTYTWO","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11462,"PROVIDER,ONEHUNDREDTWENTYTHREE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11463,"PROVIDER,ONEHUNDREDTWENTYFOUR","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11464,"PROVIDER,ONEHUNDREDTWENTYFIVE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11465,"PROVIDER,ONEHUNDREDTWENTYSIX","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11466,"PROVIDER,ONEHUNDREDTWENTYSEVEN","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11467,"PROVIDER,ONEHUNDREDTWENTYEIGHT","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11468,"PROVIDER,ONEHUNDREDTWENTYNINE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11469,"PROVIDER,ONEHUNDREDTHIRTY","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11470,"PROVIDER,ONEHUNDREDTHIRTYONE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11471,"PROVIDER,ONEHUNDREDTHIRTYTWO","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11472,"PROVIDER,ONEHUNDREDTHIRTYTHREE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11473,"PROVIDER,ONEHUNDREDTHIRTYFOUR","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11474,"PROVIDER,ONEHUNDREDTHIRTYFIVE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11475,"PROVIDER,ONEHUNDREDTHIRTYSIX","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11476,"PROVIDER,ONEHUNDREDTHIRTYSEVEN","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11477,"PROVIDER,ONEHUNDREDTHIRTYEIGHT","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11478,"PROVIDER,ONEHUNDREDTHIRTYNINE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11479,"PROVIDER,ONEHUNDREDFORTY","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11480,"PROVIDER,ONEHUNDREDFORTYONE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11481,"PROVIDER,ONEHUNDREDFORTYTWO","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11482,"PROVIDER,ONEHUNDREDFORTYTHREE","","","Scholar Extraordinaire","666547771","","","MEDICINE","","","",
11483,"PROVIDER,ONEHUNDREDFORTYFOUR","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11484,"PROVIDER,ONEHUNDREDFORTYFIVE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11485,"PROVIDER,ONEHUNDREDFORTYSIX","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11486,"PROVIDER,ONEHUNDREDFORRTYSEVEN","","","","","","","","","","",
11487,"PROVIDER,ONEHUNDREDFORTYEIGHT","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11488,"PROVIDER,ONEHUNDREDFORTYNINE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11489,"PROVIDER,ONEHUNDREDFIFTY","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11490,"PROVIDER,ONEHUNDREDFIFTYONE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11491,"PROVIDER,ONEHUNDREDFIFTYTWO","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11492,"PROVIDER,ONEHUNDREDFIFTYTHREE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11493,"PROVIDER,ONEHUNDREDFIFTYFOUR","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11494,"PROVIDER,ONEHUNDREDFIFTYFIVE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11495,"PROVIDER,ONEHUNDREDFIFTYSIX","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11496,"PROVIDER,ONEHUNDREDFIFTYSEVEN","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11497,"PROVIDER,ONEHUNDREDFIFTYEIGHT","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11498,"PROVIDER,ONEHUNDREDFIFTYNINE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11499,"PROVIDER,ONEHUNDREDSIXTY","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11500,"PROVIDER,ONEHUNDREDSIXTYONE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11501,"PROVIDER,ONEHUNDREDSIXTYTWO","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11502,"PROVIDER,ONEHUNDREDSIXTYTHREE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11503,"PROVIDER,ONEHUNDREDSIXTYFOUR","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11504,"PROVIDER,ONEHUNDREDSIXTYFIVE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11505,"PROVIDER,ONEHUNDREDSIXTYSIX","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11506,"PROVIDER,ONEHUNDREDSIXTYSEVEN","","","Scholar Extraordinaire","","","","MEDICINE","PHYSICIAN ASSISTANT","FULL TIME","",
11507,"PROVIDER,ONEHUNDREDSIXTYEIGHT","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11508,"PROVIDER,ONEHUNDREDSIXTYNINE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11509,"PROVIDER,ONEHUNDREDSEVENTY","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11510,"PROVIDER,ONEHUNDREDSEVENTYONE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11511,"PROVIDER,ONEHUNDREDSEVENTYTWO","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11512,"PROVIDER,ONEHUNDREDSEVENTYTHREE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11513,"PROVIDER,ONEHUNDREDSEVENTYFOUR","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11514,"PROVIDER,ONEHUNDREDSEVENTYFIVE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11515,"PROVIDER,ONEHUNDREDSEVENTYSIX","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11516,"PROVIDER,ONEHUNDREDSEVENTYSEVEN","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11517,"PROVIDER,ONEHUNDREDSEVENTYEIGHT","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11518,"PROVIDER,ONEHUNDREDSEVENTYNINE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11519,"PROVIDER,ONEHUNDREDEIGHTY","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11520,"PROVIDER,ONEHUNDREDEIGHTYONE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11521,"PROVIDER,ONEHUNDREDEIGHTYTWO","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11522,"PROVIDER,ONEHUNDREDEIGHTYTHREE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11523,"PROVIDER,ONEHUNDREDEIGHTYFOUR","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11524,"PROVIDER,ONEHUNDREDEIGHTYFIVE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11525,"PROVIDER,ONEHUNDREDEIGHTYSIX","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11526,"PROVIDER,ONEHUNDREDEIGHTYSEVEN","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11527,"PROVIDER,ONEHUNDREDEIGHTYEIGHT","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11528,"PROVIDER,ONEHUNDREDEIGHTYNINE","","","Scholar Extraordinaire","666549870","","","MEDICINE","","","",
11529,"PROVIDER,ONEHUNDREDNINETY","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11531,"PROVIDER,ONEHUNDREDNINETYONE","MALE","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","PHYSICIAN","FULL TIME","",
11532,"OERR,ONE KEY","FEMALE","","CLERK-TYPIST","","","","MEDICAL ADMINISTRATION","","","",
11533,"PROVIDER,ONEHUNDREDNINETYTWO","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11534,"PROVIDER,ONEHUNDREDNINETYTHREE","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11535,"PROVIDER,ONEHUNDREDNINETYFOUR","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11536,"PROVIDER,ONEHUNDREDNINETYFIVE","FEMALE","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","","","",
11537,"PROVIDER,ONEHUNDREDNINETYSIX","FEMALE","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","","","",
11538,"PROVIDER,ONEHUNDREDNINETYSEVEN","FEMALE","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","","","",
11539,"PROVIDER,ONEHUNDREDNINETYEIGHT","MALE","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","","","",
11540,"PROVIDER,ONEHUNDREDNINETYNINE","FEMALE","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","","","",
11541,"PROVIDER,FIVEHUNDREDONE","MALE","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","","","",
11542,"PROVIDER,TWOHUNDREDONE","FEMALE","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","","","",
11543,"PROVIDER,TWOHUNDREDTWO","MALE","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","","","",
11544,"PROVIDER,TWOHUNDREDTHREE","FEMALE","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","","","",
11545,"PROVIDER,TWOHUNDREDFOUR","MALE","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","","","",
11546,"PROVIDER,TWOHUNDREDFIVE","FEMALE","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","","","",
11547,"PROVIDER,TWOHUNDREDSIX","MALE","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","","","",
11548,"PROVIDER,TWOHUNDREDSEVEN","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11549,"PROVIDER,TWOHUNDREDEIGHT","MALE","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","","","",
11550,"PROVIDER,TWOHUNDREDNINE","MALE","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","","","",
11551,"PROVIDER,TWOHUNDREDTEN","FEMALE","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","","","",
11552,"PROVIDER,TWOHUNDREDELEVEN","FEMALE","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","","","",
11553,"PROVIDER,TWOHUNDRED","FEMALE","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","","","",
11554,"PROVIDER,TWOHUNDREDTELVE","FEMALE","DEC  7,1941","","","","","","","","",
11555,"PROVIDER,TWOHUNDREDTHIRTEEN","MALE","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","","","",
11556,"PROVIDER,TWOHUNDREDFOURTEEN","FEMALE","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","","","",
11557,"PROVIDER,TWOHUNDREDFIFTEEN","FEMALE","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","","","",
11558,"PROVIDER,TWOHUNDREDSIXTEEN","MALE","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","","","",
11559,"PROVIDER,TWOHUNDREDSEVENTEEN","FEMALE","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","","","",
11560,"PROVIDER,TWOHUNDREDEIGHTEEN","FEMALE","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","","","",
11561,"PROVIDER,TWOHUNDREDNINETEEN","MALE","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","","","",
